name,company,city,salary,exp,edu,details
C++,vivo,深圳,30-60K,5-10年,本科,"C++架构师/高级工程师
岗位职责：
  1.负责在线广告检索系统的设计和实现，支持大规模高并发实时广告请求；
  2.负责广告索引系统的数据、流程的设计和优化；
  3.负责广告算法策略系统的设计和开发，包括但不限于策略优化、算法优化；
任职要求：
  1.本科及以上学历，对技术充满热情，3年以上linux下c/c++/golang/lua开发经验；
  2.熟练掌握多线程/多进程/协程、tcp/ip、http/protobuf网络编程、常见rpc框架、sql/nosql数据库、设计模式、gdb调试等技术；
  3.具有高并发分布式系统的设计、开发、优化实践经验；
  4.结果导向，积极主动、有强烈的责任心，良好的沟通协调能力和良团队合作精神；
加分项：
  1.熟悉广告/搜索/推荐的架构设计，具备存储/索引/排序的优化经验；
  2.有中大型分布式的开发和优化经验；
  3.有开源项目开发经验或源码研究，如nginx、redis、grpc、tars、dubbo、zookeeper、kafka等；
                            "
C/C++,华信永道,深圳,10-20K,1-3年,大专,"岗位要求：
1、负责C/C++的代码开发、测试及维护的相关工作；
2、负责编写设计文档，画流程图；
3、服务上级安排的其他工作要求。
&nbsp;
任职要求：
1、全日制专科学历，计算机、数学、物理相关专业，并有C/C++软件实际开发经验1-3年；
2、精通C/C++语言，拥有扎实的C语言基础和编程能力，熟悉数据库编程，具备良好的代码编程习惯及较强的文档编写能力，熟悉常用的数据结构、算法，精通sql语句；
3、熟悉linux开发调试技能，能够编写shell脚本；
4、了解tcp/ip，Socket网络编程，多线程及管道的相关知识；
5、了解java语言，熟悉JQ，JS，jsp；
6、备良好的团队意识及创新思维、自我激励能力，善于与人合作，能够独立承担开发任务，具备快速学习能力，有刻苦钻研的精神和深入分析的能力，具备良好的分析解决问题能力，热爱本职工作，责任感强，有较强的逻辑思维能力、沟通能力和抗压能力、能适应出差；
7、有银行、电信开发工作经验背景者优先考虑。
                            "
C++开工程师,中软国际,深圳,10-18K,1-3年,本科,"1.2年以上从事C++项目开发工作经验
2.熟练掌握C++、C
3.熟练使用VisualStudio2008/2010/2012、svn、VC++等工具
4.工作态度认真、细致
5.有图像处理经验者优先
                            "
c++工程师,软通动力,深圳,15-26K,5-10年,本科,"1、统招本科，工作经验5年及以上；
2、熟练掌握WINDOWS平台下的C/C++开发，
3、最好有DUILIB/QT/MFC其中一种或多种UI库使用经验；
4、熟悉具有以下编程经验更好：
SOCKET TCP/IP网络编程、WINDOWS BAT脚本，WINDOWS进程通信，SVN/GIT团队协作开发
                            "
C++软件工程师,vivo,深圳,25-50K,5-10年,本科,"岗位职责：
负责构建高并发，大吞吐，高可靠的人工智能平台
负责实现人工智能算法
负责人工智能平台的日常运维
负责与人工智能平台相关需求的实现
任职要求：
对计算机系统知识扎实，有设计，开发，调优复杂系统经验
熟悉C++，Linux，Tcp，Http，Socket，有分布式，多线程，多进程相关经验
对机器学习，人工智能有兴趣并有所了解
                            "
C++,软通动力,深圳,22-30K,5-10年,本科,"岗位要求：
1. 扎实的c/c++语言开发基础；
2. 熟悉MFC和win32编程，对窗口、句柄、注册表、多线程、socket通讯等有深入了解；
3. 会批处理脚本、NSIS编译脚本者优先；
4. 熟悉敏捷开发流程者优先；
5.有系统架构设计，方案设计经验者尤佳；
6.本科及以上学历，3～8年工作经验均可。
欢迎自荐或者推荐，薪酬高，福利待遇好，岗位要求可直接微信详细了解！（自由时间、班车、一档社保、公积金，每年固定3月份调薪一次，带薪年假5～20天（最低工龄为5天），婚假产假陪产假丧事假、年终奖（满一年为条件），各种员工活动补贴（生日，电影票，购物卡）等。
                            "
C++,腾讯,深圳,20-40K,1-3年,本科,"负责企鹅电竞后台开发工作。负责直播平台后台server架构设计、开发、优化、运营工作。
岗位要求：
本科以上学历，计算机相关专业； 
2年以上Unix/Linux下C/C++开发经验，熟悉面向对象设计； 
熟悉Linux系统管理命令及开发工具； 
熟悉分布式的常用架构设计方法； 
熟悉Mysql、Oracle等数据库，熟悉NoSQL存储； 
具备良好的分析解决问题能力，能独立承担任务，有项目进度把控能力； 
责任心强，具有良好的对外沟通和团队协作能力，主动，好学； 
有大容量通信系统开发经验、异地容灾部署的相关经验者优先。
                            "
C++,腾讯,深圳,20-40K,3-5年,本科,"职位: windows客户端开发
要求: 有windows c++开发经验(如QT,MFC等)，熟悉windows操作系统原理，C++基础扎实稳固，关注新技术，有热情，好学多问。本科要求是计算机相关专业，基础扎实。
工作内容: 腾讯在线教育业务客户端业务开发。
希望能遇到热爱技术工作激情的你！
                            "
Linux C/C++/嵌入式,软通动力,深圳,8-13K,1-3年,本科,"C/C++开发工程师（数名）
1、熟悉C/C++至少一种，熟悉Unix/Linux下开发环境及shell开发脚本，check测试框架等；熟悉Cmake、make、scons、autotools等构件工具中的至少一种；
2、有良好编码习惯
3、统招本科及以上学历，要求学信网可查学位证毕业证都有，要求本科至少一年及以上工作经验，优秀18年应届生也可。
能力匹配，薪资可谈
另有嵌入式或底层驱动岗位，欢迎投递
                            "
C++软件工程师,Hymson,深圳,7-12K,1-3年,本科,"岗位职责：
1、负责锂电自动化设备软件的需求分析，软件设计，编码，代码检视，测试（调试）和维护等工作；
2、负责设备相关的视觉、机器人和其他外设的调试工作；
3、负责设备软件的编译和版本发布；
4、出差客户现场，完成客户需求，设备问题解决等工作。
任职资格：
1、具备良好的沟通能力及团队合作精神，认真细致，高度的工作责任心；
2、良好的逻辑能力，周密的思维能力，严谨的工作态度，极强问题解决能力；
3、精通C++开发语言，精通MFC,精通VS（visual studio）编译环境；
4、熟知自动化设备电气基础，包括电机、气缸、传感器和常用的其他外设；
5、熟知软件开发流程，具备规范的软件开发工作经验。
                            "
